Time (min),Temperature (°C),Compressor State,Error (°C),Perturbation (°C)
0,24.0,0,2.0,0.0
1,23.8,1,1.8000000000000007,0.0
2,23.6,1,1.6000000000000014,0.0
3,23.400000000000002,1,1.4000000000000021,0.0
4,23.200000000000003,1,1.2000000000000028,0.0
5,23.000000000000004,1,1.0000000000000036,0.0
6,22.800000000000004,1,0.8000000000000043,0.0
7,22.600000000000005,1,0.600000000000005,0.0
8,22.400000000000006,1,0.4000000000000057,0.0
9,22.200000000000006,1,0.2000000000000064,0.0
10,22.000000000000007,1,7.105427357601002e-15,0.0
11,21.800000000000008,1,-0.19999999999999218,0.0
12,21.60000000000001,1,-0.3999999999999915,0.0
13,21.40000000000001,1,-0.5999999999999908,0.0
14,21.40000000000001,0,-0.5999999999999908,0.0
15,21.40000000000001,0,-0.5999999999999908,0.0
16,21.40000000000001,0,-0.5999999999999908,0.0
17,21.40000000000001,0,-0.5999999999999908,0.0
18,21.40000000000001,0,-0.5999999999999908,0.0
19,21.40000000000001,0,-0.5999999999999908,0.0
20,21.40000000000001,0,-0.5999999999999908,0.0
21,21.40000000000001,0,-0.5999999999999908,0.0
22,21.40000000000001,0,-0.5999999999999908,0.0
23,21.40000000000001,0,-0.5999999999999908,0.0
24,21.40000000000001,0,-0.5999999999999908,0.0
25,21.40000000000001,0,-0.5999999999999908,0.0
26,21.40000000000001,0,-0.5999999999999908,0.0
27,21.40000000000001,0,-0.5999999999999908,0.0
28,21.40000000000001,0,-0.5999999999999908,0.0
29,21.40000000000001,0,-0.5999999999999908,0.0
30,21.40000000000001,0,-0.5999999999999908,0.0
31,21.40000000000001,0,-0.5999999999999908,0.0
32,21.40000000000001,0,-0.5999999999999908,0.0
33,21.40000000000001,0,-0.5999999999999908,0.0
34,21.40000000000001,0,-0.5999999999999908,0.0
35,21.40000000000001,0,-0.5999999999999908,0.0
36,21.40000000000001,0,-0.5999999999999908,0.0
37,21.40000000000001,0,-0.5999999999999908,0.0
38,21.40000000000001,0,-0.5999999999999908,0.0
